language,filename,blank,comment,code,"github.com/AlDanial/cloc v 1.76  T=0.50 s (56.0 files/s, 10140.0 lines/s)"
,,,,,
C++,..\Source\Data\srsm_project.cpp,157,18,541,
C++,..\Source\UI\srsm_timeline.cpp,106,20,404,
,,,,,
C++,..\Source\UI\srsm_image_library.cpp,64,1,249,
C++,..\Source\UI\srsm_animation_preview.cpp,65,20,209,
C++,..\Source\mainwindow.cpp,47,12,206,
,,,,,
C++,..\Source\UI\sr_welcome_window.cpp,42,8,162,
C/C++ Header,..\Source\Data\srsm_project.hpp,37,12,139,
C++,..\Source\framelistview.cpp,25,6,113,
C++,..\Source\main.cpp,23,24,74,
C/C++ Header,..\Source\UI\srsm_timeline.hpp,14,2,66,
C++,..\Source\Data\srsm_animation.cpp,16,8,62,
C/C++ Header,..\Source\UI\srsm_image_library.hpp,20,1,61,
C++,..\Source\Data\srsm_settings.cpp,21,7,54,
C/C++ Header,..\Source\UI\srsm_animation_preview.hpp,15,8,50,
C/C++ Header,..\Source\Data\srsm_animation.hpp,17,8,44,
C/C++ Header,..\Source\mainwindow.hpp,15,7,40,
C++,..\Source\newanimation.cpp,9,7,40,
,,,,,
C/C++ Header,..\Source\UI\sr_welcome_window.hpp,12,8,33,
C/C++ Header,..\Source\UI\srsm_animated_sprite.hpp,13,9,32,
C/C++ Header,..\Source\framelistview.hpp,9,5,20,
,,,,,
C/C++ Header,..\Source\newanimation.hpp,8,10,17,
C++,..\Source\UI\srsm_animated_sprite.cpp,3,2,14,
C/C++ Header,..\Source\Data\srsm_settings.hpp,5,7,13,
,,,,,
,,,,2643,
